Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
rx-mvvm-android, 0, 0, 5, 0, 5, 1098, 4, 845, 19, 6, 429
kotlin-99, 0, 0, 18, 0, 18, 811, 7, 5074, 261, 5, 428
FingerprintAuthHelper, 2, 0, 1, 3, 6, 780, 2, 844, 67, 4, 423
OkLog, 2, 1, 8, 3, 14, 1148, 1, 2084, 272, 2, 419
Posts, 0, 0, 6, 3, 9, 539, 0, 1949, 65, 5, 419
Kotlin-Realm-Extensions, 3, 0, 19, 5, 27, 692, 4, 2199, 150, 15, 409
kotlin-statistics, 1, 0, 47, 2, 50, 627, 8, 1618, 160, 5, 409
bansa, 0, 1, 1, 1, 3, 1083, 3, 2315, 115, 4, 409
Theatre, 0, 0, 6, 2, 8, 275, 4, 4409, 50, 1, 409
Twobbble, 6, 0, 56, 26, 88, 643, 1, 5800, 22, 1, 409
mixit, 3, 0, 22, 14, 39, 715, 8, 3634, 1163, 18, 407
kotlin-android-examples, 0, 0, 3, 9, 12, 377, 2, 6472, 78, 5, 407
material-cat, 0, 0, 12, 4, 16, 1210, 12, 1537, 115, 4, 401
PassAndroid, 3, 1, 22, 22, 48, 2132, 84, 5961, 1671, 10, 401
KotlinPleaseAnimate, 2, 0, 22, 4, 28, 257, 3, 2373, 27, 4, 399
OfficialFoldingTabBar.Android, 1, 0, 0, 1, 2, 710, 6, 458, 10, 4, 399
KBinding, 0, 0, 46, 6, 52, 1109, 0, 3317, 163, 5, 396
ElasticView, 0, 0, 0, 1, 1, 31, 1, 373, 24, 2, 396
kotlin-math, 1, 1, 63, 9, 74, 337, 3, 1960, 47, 5, 395
AsyncAwait, 1, 0, 1, 3, 5, 828, 9, 989, 111, 6, 390
Charles, 1, 2, 2, 7, 12, 290, 4, 1737, 8, 2, 390
QuickPermissions, 0, 0, 0, 1, 1, 285, 2, 179, 40, 2, 388
slidetoact, 1, 0, 1, 1, 3, 930, 6, 601, 84, 7, 388
FluidKeyboardResize, 0, 0, 0, 0, 0, 56, 2, 283, 39, 1, 387
Stepper-Touch, 1, 0, 1, 3, 5, 616, 14, 300, 47, 2, 386
checkable-chip-view, 1, 0, 2, 1, 4, 103, 5, 436, 19, 2, 386
CallRecorder, 1, 0, 14, 4, 19, 767, 25, 528, 70, 3, 383
retroauth, 0, 0, 8, 10, 18, 1266, 2, 2099, 351, 5, 382
Leku, 1, 0, 8, 6, 15, 851, 11, 2305, 433, 20, 382
fakeit, 1, 0, 4, 11, 16, 674, 17, 1161, 111, 15, 376
CircleLayout, 0, 0, 2, 1, 3, 1047, 1, 276, 51, 2, 374
domic, 0, 0, 1, 6, 7, 201, 6, 2485, 34, 4, 374
Android-drawable-preview-plugin, 1, 0, 2, 1, 4, 195, 0, 1378, 87, 3, 373
settings-repository, 2, 1, 33, 9, 45, 1910, 0, 3824, 317, 4, 372
android-kotlin-mvp-architecture, 0, 0, 4, 14, 18, 336, 14, 2316, 49, 4, 371
AssistedInject, 3, 0, 0, 3, 6, 531, 9, 3657, 145, 4, 371
MediumClap-Android, 2, 0, 3, 3, 8, 298, 2, 947, 111, 4, 370
From-design-to-Android-part2, 0, 0, 0, 0, 0, 431, 0, 95, 12, 2, 370
LiteUtilities, 0, 1, 5, 3, 9, 462, 2, 775, 44, 2, 370
BottomSheetLayout, 1, 0, 3, 1, 5, 383, 7, 260, 44, 1, 369
StateMachine, 0, 0, 0, 3, 3, 177, 3, 709, 21, 2, 368
SurvivalManual, 1, 0, 1, 4, 6, 800, 30, 1136, 331, 5, 367
MaterialDrawerKt, 2, 0, 26, 2, 30, 600, 1, 5898, 285, 4, 367
thrifty, 18, 4, 28, 18, 68, 1007, 18, 14761, 442, 12, 366
Lemniscate, 2, 1, 6, 5, 14, 676, 0, 2955, 72, 2, 366
RadiusTransition, 0, 0, 0, 0, 0, 240, 0, 136, 8, 1, 366
SpannedGridLayoutManager, 1, 0, 4, 1, 6, 538, 9, 867, 44, 4, 362
kobalt, 15, 3, 180, 41, 239, 1147, 65, 16485, 3388, 27, 361
Result, 2, 0, 0, 4, 6, 1124, 2, 793, 107, 8, 360
Reagent, 0, 0, 0, 0, 0, 745, 0, 3206, 139, 2, 355
Actinium, 3, 0, 16, 5, 24, 825, 33, 1784, 115, 4, 354
red-moon, 0, 0, 2, 9, 11, 984, 43, 3371, 1000, 109, 353
RxRedux, 0, 0, 10, 6, 16, 152, 4, 1791, 149, 11, 351
Android-CommonShapeButton, 1, 0, 0, 1, 2, 150, 1, 284, 71, 4, 350
Yaksa, 0, 0, 12, 6, 18, 174, 4, 1529, 47, 1, 343
telegram_backup, 6, 2, 21, 7, 36, 876, 49, 3815, 353, 9, 339
AndroidWithKotlin, 2, 0, 13, 18, 33, 544, 1, 2664, 83, 3, 339
MultiImageView, 0, 0, 1, 1, 2, 703, 2, 148, 10, 4, 338
MaterialTimelineView, 0, 0, 3, 2, 5, 412, 1, 384, 27, 1, 338
android-studio-poet, 2, 0, 27, 8, 37, 415, 8, 6122, 552, 11, 336
StickyTimeLine, 1, 0, 2, 1, 4, 370, 4, 539, 71, 5, 335
Charlatano, 1, 0, 27, 1, 29, 825, 405, 3965, 445, 13, 335
