Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
ReactivePlayBilling, 0, 0, 1, 1, 2, 324, 2, 274, 21, 3, 94
Coolapk-kotlin, 0, 0, 2, 5, 7, 1560, 1, 2459, 46, 3, 94
episodie, 5, 0, 20, 54, 79, 820, 6, 11151, 535, 4, 94
ColorMatchTabsAndroid, 1, 0, 4, 4, 9, 500, 1, 1127, 58, 4, 94
MotionLayoutExamples, 0, 0, 1, 0, 1, 80, 0, 291, 20, 1, 93
AndroidCupsPrint, 6, 2, 38, 10, 56, 1269, 17, 5487, 276, 13, 93
Gank.io-for-Kotlin-Android, 1, 0, 12, 13, 26, 999, 0, 2737, 58, 1, 93
android-VideoPlayer, 0, 0, 0, 3, 3, 242, 0, 397, 4, 2, 93
CardKeeper, 0, 0, 0, 3, 3, 820, 0, 1021, 61, 2, 93
socialview, 0, 0, 5, 3, 8, 720, 20, 1367, 144, 2, 92
clay, 3, 0, 12, 4, 19, 437, 3, 2753, 15, 1, 92
kotliquery, 3, 0, 3, 2, 8, 1094, 6, 1255, 72, 12, 91
KAU, 5, 0, 72, 24, 101, 533, 9, 9756, 340, 3, 91
kotlin-libui, 0, 0, 39, 7, 46, 197, 5, 4507, 374, 5, 91
intellij-makefile, 0, 0, 0, 10, 10, 714, 15, 1249, 225, 3, 91
jibri, 0, 1, 14, 5, 20, 1019, 20, 5764, 523, 16, 91
WanAndroid, 21, 0, 132, 114, 267, 89, 2, 10618, 282, 4, 91
Gan_Kotlin, 0, 0, 2, 6, 8, 543, 0, 1051, 21, 3, 91
mainframer-intellij-plugin, 0, 0, 13, 3, 16, 672, 11, 2841, 929, 14, 91
tldroid, 0, 0, 9, 5, 14, 1062, 1, 1421, 154, 1, 91
KotlinDiscreteMathToolkit, 0, 0, 0, 0, 0, 599, 1, 632, 150, 5, 91
android-kotlin-mvp-clean-architecture, 0, 0, 9, 12, 21, 427, 0, 2129, 50, 1, 91
NumberPicker, 0, 0, 0, 0, 0, 423, 0, 223, 16, 2, 90
ZhihuDaily, 1, 1, 9, 22, 33, 529, 4, 6117, 62, 1, 90
krouter, 0, 0, 1, 2, 3, 798, 1, 570, 24, 2, 90
kotlin, 854, 954, 11202, 2896, 15906, 1082, 32, 1030909, 81451, 370, 90
blockchain-kotlin, 0, 0, 6, 3, 9, 112, 0, 1548, 1, 1, 89
julia-intellij, 1, 4, 24, 17, 46, 306, 24, 6617, 1281, 10, 89
solr-undertow, 3, 4, 0, 3, 10, 1534, 7, 1472, 330, 6, 89
nearbychat, 0, 0, 1, 2, 3, 205, 6, 613, 20, 1, 89
Eyepetizer, 4, 2, 2, 36, 44, 289, 0, 3763, 25, 2, 89
sticky-index, 0, 0, 5, 6, 11, 1269, 3, 1247, 60, 3, 89
cloudopt-next, 4, 2, 30, 10, 46, 318, 2, 7133, 88, 3, 89
Listn, 2, 0, 11, 15, 28, 279, 0, 4356, 48, 2, 89
campfire-android, 14, 1, 34, 44, 93, 365, 0, 10368, 1201, 2, 89
vaadin-on-kotlin, 3, 0, 24, 15, 42, 956, 7, 8493, 1161, 1, 88
AndroidUIGestureRecognizer, 7, 2, 4, 9, 22, 737, 1, 3258, 195, 3, 88
MLKitAndroid, 0, 0, 0, 2, 2, 196, 0, 697, 52, 3, 88
Blueteeth, 0, 0, 10, 4, 14, 1358, 11, 965, 149, 3, 88
VillageDSL, 0, 2, 2, 0, 4, 443, 0, 760, 22, 1, 88
cryptodata, 0, 0, 1, 4, 5, 331, 1, 888, 40, 2, 88
Kotlin-Reflect-Tools-For-Android, 1, 0, 6, 0, 7, 375, 0, 661, 21, 2, 87
security-showcase-android, 1, 0, 20, 10, 31, 684, 2, 2625, 361, 4, 87
pomodoro-tm, 1, 0, 2, 3, 6, 3103, 8, 1048, 185, 3, 86
Archetype, 0, 0, 25, 9, 34, 616, 10, 2374, 36, 5, 86
RunInBackgroundPermissionSetter, 0, 0, 1, 2, 3, 497, 6, 264, 42, 6, 86
voipms-sms-client, 11, 2, 32, 19, 64, 1527, 22, 10076, 334, 2, 86
CryptoPrefs, 0, 0, 0, 2, 2, 181, 1, 389, 68, 3, 86
overview, 0, 0, 0, 0, 0, 487, 41, 25, 92, 3, 85
android-geocities-theme, 0, 0, 1, 4, 5, 357, 0, 574, 32, 1, 85
ideolog, 2, 3, 12, 11, 28, 537, 18, 2730, 78, 7, 85
BannerLayout, 1, 2, 6, 6, 15, 761, 0, 2136, 68, 2, 85
android-coroutines, 1, 0, 26, 8, 35, 360, 0, 2606, 173, 3, 85
vue-kotlin, 0, 0, 8, 1, 9, 485, 2, 1798, 85, 1, 85
knarch.db, 14, 22, 104, 25, 165, 192, 36, 13322, 122, 2, 85
LiveDataBinding, 0, 0, 0, 0, 0, 335, 2, 54, 11, 3, 85
Android-ProgressViews, 2, 0, 0, 3, 5, 1028, 0, 427, 28, 4, 85
EnhancedNavigationView, 0, 0, 0, 1, 1, 118, 0, 138, 10, 2, 85
CleanNews, 0, 0, 9, 11, 20, 984, 4, 2401, 150, 3, 84
ramBuild, 0, 0, 0, 0, 0, 1313, 0, 46, 14, 3, 84
liquidrefreshlayout, 2, 1, 1, 2, 6, 219, 0, 780, 11, 1, 84
KTools, 1, 0, 4, 11, 16, 446, 0, 3821, 167, 2, 84
HNDesktop, 1, 1, 1, 1, 4, 455, 9, 566, 42, 2, 84
Switcher, 1, 0, 0, 2, 3, 1350, 1, 264, 91, 4, 84
core, 3, 0, 18, 8, 29, 686, 19, 3595, 340, 7, 84
kotlin-coroutines-okhttp, 0, 0, 0, 0, 0, 559, 2, 88, 4, 1, 84
KotlinLearn, 0, 11, 3, 0, 14, 452, 0, 2344, 23, 1, 84
RoomAsset, 0, 0, 2, 0, 2, 492, 5, 214, 63, 4, 83
kotlin-mvvm, 0, 0, 2, 2, 4, 251, 0, 1052, 5, 2, 83
ribot-android-boilerplate-kotlin, 0, 0, 0, 1, 1, 794, 0, 1069, 59, 1, 83
RxBus, 0, 0, 0, 0, 0, 981, 2, 113, 41, 4, 83
pattern-lock, 1, 0, 2, 2, 5, 193, 1, 469, 27, 3, 83
KotlinRxMvpArchitecture, 0, 0, 2, 4, 6, 362, 0, 894, 14, 1, 83
night-owl-jetbrains, 0, 0, 1, 1, 2, 177, 2, 442, 194, 5, 83
WechatChatRoomHelper, 3, 5, 13, 12, 33, 511, 3, 4096, 465, 4, 83
kotlin-monads, 0, 0, 0, 0, 0, 725, 2, 337, 27, 2, 83
Pikolo, 1, 0, 0, 3, 4, 541, 7, 490, 46, 3, 82
cyklic, 0, 0, 4, 0, 4, 973, 0, 455, 11, 2, 82
Console, 0, 0, 0, 6, 6, 1106, 0, 723, 88, 4, 82
rxkprefs, 0, 0, 2, 4, 6, 84, 0, 615, 32, 1, 82
deck-of-cards, 0, 0, 4, 7, 11, 614, 0, 2207, 5, 1, 82
kor, 4, 0, 3, 9, 16, 1633, 0, 4187, 160, 2, 82
chroma, 0, 0, 1, 0, 1, 1020, 3, 342, 70, 2, 81
Simple-Clock, 4, 0, 5, 14, 23, 271, 41, 3080, 356, 27, 81
StepBarView, 1, 2, 0, 2, 5, 234, 0, 759, 75, 6, 81
Feeder, 14, 1, 28, 16, 59, 1550, 7, 9911, 1022, 13, 81
funkytunes, 2, 2, 4, 10, 18, 635, 15, 1826, 55, 7, 81
kethereum, 1, 1, 23, 1, 26, 545, 16, 5916, 305, 9, 81
KPermissions-kotlin, 0, 0, 2, 0, 2, 423, 0, 222, 4, 2, 81
kanvas, 0, 0, 6, 0, 6, 875, 0, 888, 102, 2, 80
FlowLayout, 1, 2, 4, 1, 8, 828, 4, 720, 35, 4, 80
paperboy, 1, 0, 2, 5, 8, 1258, 1, 1242, 105, 2, 80
redchain, 4, 2, 1, 7, 14, 1097, 1, 2722, 33, 3, 80
KontinuousSpeechRecognizer, 0, 0, 0, 3, 3, 556, 1, 361, 24, 2, 80
better-parse, 0, 0, 8, 3, 11, 505, 9, 2015, 54, 1, 79
Frost-for-Facebook, 6, 2, 19, 28, 55, 545, 46, 9890, 424, 1, 79
Model-View-Intent-Android, 0, 0, 0, 1, 1, 996, 2, 239, 3, 1, 79
KFormMaster, 7, 0, 7, 10, 24, 284, 3, 7676, 347, 5, 79
GradleDependenciesHelperPlugin, 0, 0, 0, 0, 0, 1921, 7, 223, 44, 2, 79
FlipperLayout, 0, 0, 0, 1, 1, 686, 0, 263, 47, 3, 79
Simple-App-Launcher, 0, 0, 1, 5, 6, 841, 4, 745, 317, 23, 79
StepViewAndroid, 1, 0, 3, 1, 5, 106, 1, 882, 50, 3, 78
ArcChartView, 2, 0, 1, 2, 5, 341, 0, 830, 118, 4, 78
WeatherStation, 0, 0, 11, 6, 17, 185, 1, 2169, 34, 1, 78
aws-toolkit-jetbrains, 3, 2, 54, 26, 85, 558, 76, 16389, 470, 11, 78
flinglayout, 0, 0, 1, 1, 2, 398, 0, 94, 11, 1, 78
KotlinPrimavera, 0, 0, 17, 1, 18, 2053, 2, 2186, 26, 3, 78
kotlin-mpp-example, 0, 0, 0, 0, 0, 181, 2, 121, 35, 6, 78
bubble, 0, 0, 1, 2, 3, 1150, 0, 871, 77, 3, 78
databinding-support, 0, 0, 0, 1, 1, 735, 4, 367, 127, 4, 78
ResourcesPoet, 1, 0, 3, 1, 5, 835, 0, 939, 47, 4, 78
lightsaber, 6, 4, 56, 30, 96, 1330, 2, 11694, 1189, 2, 78
ReactiveAndroid, 2, 9, 12, 9, 32, 1028, 5, 6663, 160, 5, 77
kotlin-android-lib, 0, 0, 11, 0, 11, 464, 0, 964, 64, 8, 77
DailyGank, 0, 0, 1, 4, 5, 986, 0, 1203, 20, 1, 77
github-multiplatform-example, 0, 0, 0, 0, 0, 80, 1, 252, 9, 3, 77
mordant, 0, 0, 6, 2, 8, 426, 0, 590, 50, 2, 77
NewAndroidArchitecture, 0, 0, 0, 0, 0, 369, 1, 223, 8, 1, 76
Kamera, 1, 1, 2, 3, 7, 315, 1, 1653, 2, 1, 76
flutter_webview, 0, 0, 0, 2, 2, 433, 10, 243, 31, 5, 76
CustomBottoBar, 0, 0, 0, 0, 0, 25, 1, 42, 8, 2, 76
debot, 0, 0, 2, 0, 2, 1157, 3, 508, 132, 4, 76
JumpJump, 0, 0, 4, 0, 4, 331, 3, 680, 19, 3, 76
un-material-tab, 2, 1, 0, 2, 5, 691, 2, 603, 20, 1, 76
slatekit, 23, 17, 431, 110, 581, 958, 9, 44721, 764, 4, 76
klock, 2, 0, 11, 6, 19, 397, 3, 2116, 194, 5, 75
FasterLayoutsWithAnko, 0, 0, 1, 0, 1, 756, 0, 226, 7, 1, 75
AndroidKotlinComponents, 0, 0, 0, 5, 5, 442, 1, 2860, 95, 2, 75
simple-vlc-player, 3, 1, 11, 13, 28, 178, 0, 2475, 333, 1, 75
kotlin-node.js, 0, 0, 0, 0, 0, 620, 0, 13, 21, 2, 75
Komprehensions, 0, 0, 96, 0, 96, 818, 0, 3402, 30, 2, 75
NicePhoto, 3, 1, 7, 8, 19, 509, 0, 2625, 23, 3, 74
LocationLiveData, 0, 0, 1, 0, 1, 85, 0, 450, 56, 1, 74
scratch, 3, 0, 6, 8, 17, 2993, 4, 2339, 224, 6, 74
SimpleRead, 3, 2, 15, 12, 32, 227, 0, 3694, 14, 2, 74
FlameBarChart, 1, 1, 9, 1, 12, 178, 0, 1108, 115, 1, 74
crumb, 3, 3, 21, 6, 33, 522, 3, 2661, 69, 6, 74
FragmentManager, 0, 1, 10, 4, 15, 1048, 0, 1259, 93, 4, 74
mastodon4j, 3, 0, 20, 10, 33, 583, 16, 3904, 218, 10, 73
Openticator, 0, 0, 12, 23, 35, 1027, 8, 4644, 203, 3, 73
eraser-map, 10, 2, 13, 22, 47, 1327, 22, 8847, 1291, 18, 73
ubin-corda, 26, 69, 30, 3, 128, 377, 3, 13851, 2, 1, 73
strikt, 3, 0, 13, 4, 20, 210, 15, 6230, 626, 8, 73
Kanvas, 1, 0, 18, 4, 23, 108, 0, 1754, 15, 2, 73
PlaylistCore, 2, 0, 11, 10, 23, 1043, 3, 2919, 146, 4, 73
daysuntil, 1, 0, 4, 3, 8, 1141, 0, 783, 62, 2, 73
kotlinx.reflect.lite, 0, 0, 11, 0, 11, 1179, 3, 811, 55, 5, 73
kroto-plus, 0, 0, 5, 1, 6, 261, 4, 2324, 133, 2, 73
Kotlin-Networking, 5, 1, 5, 8, 19, 574, 1, 3747, 63, 3, 72
android-cards, 0, 0, 0, 0, 0, 447, 1, 161, 88, 2, 72
jkmvc, 9, 2, 73, 32, 116, 556, 0, 13976, 811, 2, 72
YuzuBrowser, 26, 8, 114, 107, 255, 626, 62, 33992, 1081, 3, 72
Feed-Me, 0, 0, 0, 1, 1, 280, 1, 436, 14, 2, 72
Anko-ExpandableTextView, 1, 0, 1, 1, 3, 493, 4, 574, 40, 2, 72
SystemUITunerRedesign, 3, 0, 13, 21, 37, 497, 11, 4960, 2238, 6, 72
koalanlp, 3, 0, 9, 9, 21, 1573, 0, 12113, 461, 6, 72
Android-Media-Converter, 2, 1, 16, 22, 41, 327, 13, 5158, 590, 8, 71
SurfAndroidStandard, 5, 3, 169, 105, 282, 150, 0, 26941, 2284, 51, 71
before_after_slider, 0, 0, 0, 1, 1, 854, 2, 251, 70, 2, 71
aaf-easydiary, 8, 4, 18, 13, 43, 465, 12, 6008, 678, 8, 71
retrograde-android, 1, 0, 13, 16, 30, 447, 4, 6808, 140, 4, 71
BurnerPhones, 0, 0, 0, 0, 0, 503, 0, 155, 16, 2, 71
kotlin-metadata, 0, 0, 9, 2, 11, 490, 3, 1083, 29, 3, 71
autodsl, 0, 0, 6, 0, 6, 27, 0, 1361, 40, 4, 71
sage-system, 1, 0, 61, 25, 87, 608, 0, 5520, 712, 6, 71
BubbleShowCase-Android, 3, 0, 5, 5, 13, 74, 5, 1194, 28, 2, 70
flexadapter, 2, 1, 8, 3, 14, 913, 1, 1556, 114, 3, 70
AppEnv-Kotlin, 2, 2, 3, 9, 16, 358, 5, 2912, 119, 5, 70
KotlinNativeSample, 0, 0, 1, 1, 2, 25, 0, 439, 13, 2, 70
KotlinAnim, 0, 0, 3, 0, 3, 261, 0, 183, 8, 2, 70
KotlinAsyncWithCoroutines, 0, 0, 0, 0, 0, 315, 0, 137, 4, 1, 70
firebase-jetpack, 0, 0, 1, 3, 4, 129, 1, 2586, 30, 1, 70
android-gradle-kotlin-app-template, 0, 0, 0, 0, 0, 993, 0, 14, 38, 1, 70
Simple-Commons, 9, 0, 54, 16, 79, 715, 1, 8591, 2966, 74, 70
RxValidator2, 0, 0, 1, 1, 2, 506, 0, 462, 36, 3, 70
motion-layout-playground, 1, 1, 0, 1, 3, 81, 0, 423, 71, 1, 70
GDPRConsent, 1, 0, 3, 3, 7, 201, 1, 778, 44, 2, 70
VideoPlayView, 0, 0, 0, 0, 0, 412, 0, 165, 23, 2, 69
CoordinatorsAndroid, 0, 0, 0, 1, 1, 203, 0, 921, 10, 1, 69
pageindicator, 1, 1, 0, 2, 4, 297, 6, 658, 16, 3, 69
viewpagerdots, 1, 0, 1, 1, 3, 42, 0, 357, 9, 1, 69
snodge, 1, 0, 9, 1, 11, 1711, 0, 3537, 333, 1, 69
kotlinter-gradle, 0, 0, 5, 0, 5, 565, 3, 408, 73, 3, 69
Kotlin-Reflect-Tools-For-JVM, 1, 0, 7, 0, 8, 391, 0, 740, 25, 3, 69
MultiPictureView, 1, 0, 2, 2, 5, 519, 3, 470, 17, 2, 69
krawler, 2, 0, 5, 1, 8, 762, 2, 2276, 207, 3, 69
VolumeControlView, 1, 0, 6, 3, 10, 535, 3, 714, 55, 5, 69
android-rv-swipe-delete, 0, 0, 1, 0, 1, 518, 5, 129, 4, 1, 69
KotlinCoroutinesExamples, 0, 0, 8, 8, 16, 375, 0, 2619, 53, 1, 68
SAF-Kotlin-log, 1, 0, 0, 0, 1, 686, 1, 836, 169, 2, 68
teamcity-dotnet-plugin, 1, 2, 49, 7, 59, 1047, 10, 12084, 404, 7, 68
IBackdrop, 0, 0, 0, 1, 1, 142, 1, 255, 59, 3, 68
kotlin-playground, 0, 1, 0, 6, 7, 371, 0, 4086, 79, 1, 68
LogcatReader, 6, 2, 9, 16, 33, 370, 9, 4945, 557, 5, 68
kappuccino, 0, 0, 12, 6, 18, 610, 9, 1818, 280, 7, 68
MokuMokuNotes_Android, 0, 0, 1, 2, 3, 295, 1, 320, 18, 2, 68
retrofit-kaiteki, 0, 0, 2, 3, 5, 201, 1, 839, 35, 2, 68
kotlin-multiplatform-recipes, 0, 2, 0, 0, 2, 542, 4, 416, 69, 1, 68
AndroidKotlinBoilerplate, 0, 0, 0, 1, 1, 318, 3, 410, 21, 1, 67
ColorSeekBar, 0, 0, 1, 1, 2, 99, 3, 164, 20, 3, 67
atrium, 9, 0, 839, 21, 869, 686, 23, 52478, 1332, 5, 67
DroidMotion, 0, 0, 0, 2, 2, 104, 0, 593, 4, 1, 67
Kpan, 2, 0, 3, 1, 6, 333, 5, 552, 20, 1, 67
SAF-Kotlin-Utils, 0, 0, 11, 0, 11, 677, 0, 1431, 144, 2, 67
tock, 24, 23, 334, 50, 431, 625, 9, 63265, 1248, 21, 67
gradle-aem-plugin, 7, 4, 41, 18, 70, 569, 35, 6591, 1053, 18, 66
kotlin-netbeans, 4, 1, 75, 29, 109, 1170, 21, 12538, 912, 11, 66
lint-rules, 0, 0, 7, 1, 8, 699, 1, 6887, 246, 4, 66
KExtensions, 0, 0, 45, 0, 45, 458, 0, 3136, 57, 1, 66
EasyCrypt, 2, 0, 23, 4, 29, 513, 0, 3686, 109, 2, 66
Kotlinyan, 0, 0, 1, 2, 3, 542, 0, 1975, 62, 3, 66
fastText4j, 3, 1, 26, 5, 35, 158, 3, 2694, 36, 3, 66
swagger, 1, 1, 8, 5, 15, 787, 1, 3000, 79, 6, 66
CardviewFix, 1, 2, 7, 4, 14, 138, 4, 878, 25, 2, 66
green-build, 1, 0, 38, 29, 68, 224, 5, 12576, 90, 3, 66
KotMeh, 1, 1, 0, 0, 2, 1327, 3, 459, 30, 2, 66
emv-bertlv, 0, 0, 40, 5, 45, 1523, 2, 3001, 256, 6, 65
RhythmHeavenRemixEditor, 21, 15, 50, 51, 137, 764, 1, 22789, 3266, 10, 65
Abendigo, 1, 2, 26, 2, 31, 1088, 34, 1828, 289, 6, 65
kotlin-adapter, 0, 1, 27, 12, 40, 431, 0, 3953, 111, 2, 65
kotlin-unsigned, 0, 0, 2, 4, 6, 765, 4, 1299, 139, 9, 65
LibGDXPlugin, 5, 1, 54, 37, 97, 854, 1, 22281, 244, 1, 65
BestGithub, 0, 0, 1, 4, 5, 82, 0, 874, 31, 2, 65
UnderlinePageIndicator, 0, 0, 0, 1, 1, 139, 0, 227, 8, 1, 65
WeatherApp, 0, 0, 1, 3, 4, 318, 1, 1181, 26, 3, 65
mvp-kotlin, 3, 3, 8, 27, 41, 500, 0, 4506, 75, 4, 64
