Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
RxEasyHttp,39,89,83,33,244,536,8,15894,207,1,2044
CameraFragment,13,52,48,15,128,681,84,5277,76,12,2044
incubator-pinot,809,2370,2204,405,5788,1651,202,327811,7176,86,2044
MvpApp,69,159,181,49,458,828,18,26842,123,5,2043
light-task-scheduler,161,447,291,107,1006,1493,96,54193,1048,21,2040
ksql,174,488,592,168,1422,789,416,85624,3568,66,2032
java-tron,326,1205,376,218,2125,334,48,110444,9429,118,2030
PagerBottomTabStrip,14,32,56,7,109,1190,0,3779,100,7,2028
android-sqlite-asset-helper,1,8,5,1,15,2546,78,718,71,5,2019
FlycoDialog_Master,13,38,35,8,94,1183,21,4563,76,4,2016
ToggleButton,5,8,10,3,26,1547,28,1772,50,11,2016
wycheproof,25,74,28,16,143,747,12,12783,91,19,2014
Android-Skin-Loader,18,20,80,16,134,1243,30,5677,70,3,2012
volley,26,61,54,13,154,670,10,10042,2006,67,2011
nucleus,13,28,23,7,71,1460,7,4653,206,13,2004
shiro,161,280,217,89,747,3375,44,69702,2104,38,2002
keywhiz,43,111,161,49,364,1341,29,24815,860,29,1999
RxRelay,12,34,4,6,56,1062,1,2833,60,9,1999
SwipeToLoadLayout,17,41,71,21,150,1180,47,5972,173,5,1998
AppMethodOrder,0,0,3,4,7,610,4,238,49,9,1996
discreteSeekBar,5,12,16,5,38,1458,70,2320,43,7,1996
Android-Studio-Plugins,0,0,0,1,1,471,3,70,41,3,1994
rejoiner,13,50,17,7,87,354,14,4894,215,10,1991
vectalign,11,31,8,6,56,1179,3,2892,73,3,1990
Android-SlideExpandableListView,1,7,12,1,21,2347,46,783,95,14,1990
BlurEffectForAndroidDesign,2,2,5,0,9,1983,8,464,9,2,1988
PanoramaImageView,2,3,1,0,6,704,8,417,26,2,1986
Luyten,12,70,12,6,100,1963,87,5656,143,16,1986
CircleDemo,18,32,63,13,126,1060,17,6674,89,5,1985
RxAndroidBle,41,71,140,27,279,1025,32,13122,690,37,1985
librec,124,295,162,52,633,1781,37,48576,1074,34,1984
android-parcelable-intellij-plugin,1,1,27,2,31,2124,21,2256,107,11,1984
paper-onboarding-android,1,9,5,1,16,944,17,832,43,8,1984
SopCastComponent,29,64,44,22,159,719,22,10487,33,2,1983
FinestWebView-Android,5,16,19,4,44,2060,107,2521,201,13,1982
ReactiveNetwork,6,13,16,8,43,1203,15,2823,686,11,1980
okdownload,101,194,332,77,704,343,62,28497,534,4,1979
MinimalistWeather,16,21,18,5,60,962,8,6129,126,3,1972
citypicker,16,33,54,6,109,927,16,6161,143,8,1969
EasyRecyclerView,13,37,28,6,84,1226,92,5030,181,10,1967
TouchImageView,1,14,15,1,31,2625,96,1226,85,5,1966
Android-Terminal-Emulator,35,115,119,20,289,3004,118,14909,1088,84,1965
AndroidSweetSheet,9,12,25,2,48,1207,21,2223,30,5,1965
cropiwa,11,12,52,11,86,619,34,3747,82,8,1964
es,79,167,289,66,601,2143,35,33115,344,5,1963
sofa-rpc,229,565,396,109,1299,230,34,88557,178,23,1962
KJFrameForAndroid,93,170,219,49,531,1631,19,25955,537,9,1956
helios,127,421,334,90,972,1644,5,59095,3243,56,1956
Phonograph,85,181,168,61,495,1361,234,23275,1575,40,1954
DataMiningAlgorithm,44,184,47,16,291,1414,2,15129,92,2,1952
NavigationTabStrip,1,8,5,1,15,924,30,742,31,5,1951
lwjgl3,1383,624,15153,1894,19054,2163,42,649062,2905,30,1950
nutz,242,658,1156,220,2276,2725,16,119607,6015,96,1947
FabulousFilter,7,23,26,2,58,517,10,2308,55,3,1945
JAViewer,13,61,48,9,131,918,9,6891,103,6,1944
MaterialStepperView,2,8,13,1,24,474,7,1811,50,8,1941
lettuce-core,290,238,1665,299,2492,1660,23,124432,2575,33,1940
ZLayoutManager,6,23,20,1,50,759,27,1735,50,3,1940
android-PullRefreshLayout,8,14,9,6,37,1485,35,2232,71,4,1940
spring-cloud-rest-tcc,5,10,41,8,64,1087,15,6967,75,3,1937
curator,5,12,8,4,29,2691,9,1315,1175,27,1935
beakerx,150,177,428,161,916,1818,241,91848,3339,44,1932
ShadowImageView,1,5,5,0,11,610,3,473,37,1,1929
pmd,326,664,628,265,1883,2328,211,146737,14404,204,1926
android-open-source-project-analysis,8,19,29,9,65,639,12,4297,639,2,1919
android-flowlayout,8,26,7,3,44,2633,27,2086,143,18,1918
PlayerBase,37,65,111,48,261,607,16,14180,320,2,1909
TableView,21,55,58,14,148,530,79,6840,287,9,1909
fqrouter,32,210,191,27,460,2786,63,36152,1065,3,1908
phonegap-facebook-plugin,116,333,472,81,1002,2735,427,45933,634,72,1907
janusgraph,241,640,817,190,1888,699,348,101531,5446,123,1907
android-ocr,14,55,24,4,97,2591,1,4955,115,1,1906
ThinkAndroid,56,181,144,38,419,2022,2,25744,6,1,1906
PersistentSearch,4,18,28,3,53,1361,28,2758,57,14,1905
android-ripple-background,1,2,1,0,4,1479,27,180,11,3,1904
WordPress-Android,314,1200,1043,234,2791,2057,360,124609,34572,127,1904
android-Camera2Basic,1,11,9,1,22,1613,111,1008,28,3,1904
TextSurface,7,17,38,5,67,1139,7,2757,14,2,1901
CommonDevKnowledge,0,0,2,0,2,345,4,213,33,3,1900
overscroll-decor,5,19,38,5,67,1099,28,2676,56,4,1899
Horizon,4,14,10,1,29,978,16,962,26,3,1895
red5-server,42,115,61,25,243,1832,26,19001,456,14,1894
understand-plugin-framework,3,38,21,0,62,1032,4,2358,48,4,1893
jjdxm_ijkplayer,11,30,27,6,74,909,77,5555,53,2,1888
groupie,8,7,61,9,85,815,34,3983,175,32,1888
TinyPinyin,6,15,2,1,24,1152,16,2997,22,3,1888
spring-cloud-alibaba,9,38,42,1,90,359,17,10535,284,18,1887
android-demos,25,43,79,17,164,3409,1,9093,421,35,1886
stream-lib,39,113,43,32,227,2812,32,11177,398,51,1886
Shimmer-android,4,4,5,0,13,1725,13,507,39,5,1882
datetimepicker,10,43,38,5,96,2002,58,3669,73,11,1881
jmonkeyengine,738,2046,3091,450,6325,1711,131,324368,7021,159,1881
Album,25,64,75,8,172,753,57,11112,161,7,1880
MaterialLogin,1,2,0,0,3,843,2,218,36,7,1879
CompressHelper,5,5,11,3,24,619,19,1049,51,3,1877
jackson-databind,418,898,1497,326,3139,2529,324,147069,5244,171,1877
javassist,161,570,778,126,1635,2011,91,102631,892,33,1874
Rosie,14,8,20,19,61,1101,14,9596,514,19,1871
StatusBarCompat,3,6,11,0,20,979,0,773,37,3,1871
rest.li,912,3350,2902,538,7702,2186,23,365276,2010,101,1870
reactor-core,612,1567,563,532,3274,1111,69,174852,2418,87,1868
ethereumj,231,616,455,200,1502,1657,77,101622,5558,98,1866
Bukkit,138,140,455,63,796,2884,63,56802,1510,131,1865
FragmentRigger,11,24,30,13,78,374,7,4617,147,7,1864
PRDownloader,5,38,7,5,55,379,52,4051,117,5,1864
MarqueeViewLibrary,4,1,6,2,13,705,11,1140,52,3,1864
BlurDialogFragment,7,13,8,3,31,1569,30,1693,173,12,1863
Android-Boilerplate,1,5,4,1,11,1332,7,1536,58,4,1862
brigadier,14,21,26,21,82,1532,24,5504,179,13,1859
android-upload-service,23,48,48,7,126,1888,18,6243,616,23,1859
CircularAnim,4,9,3,2,18,858,4,725,107,5,1856
ProgressManager,7,33,11,3,54,537,1,89226,92,3,1854
http-kit,25,73,54,15,167,2448,54,6954,521,67,1853
XPrivacy,58,238,170,17,483,2009,71,21674,8156,91,1850
BlockCanaryEx,12,26,27,6,71,629,20,4443,95,6,1849
TastyToast,3,6,12,6,27,861,16,974,67,4,1849
vertx-examples,17,134,82,21,254,1370,15,17767,1148,92,1848
ghostdriver,11,47,3,6,67,2440,157,4121,692,59,1846
NLPIR,18,88,65,10,181,1301,123,7002,352,9,1843
Smack,418,1107,642,175,2342,1756,14,175739,3706,97,1840
android-viewflow,4,13,15,3,35,2759,49,1961,123,16,1835
GestureViews,30,64,93,22,209,1640,8,10816,383,4,1835
StarWars.Android,9,29,29,5,72,1077,5,2162,23,4,1834
drools,1671,6970,4963,1129,14733,2837,7,771336,15108,197,1831
openzaly,653,828,373,469,2323,304,1,208239,724,6,1830
TProfiler,11,30,16,4,61,2413,21,3794,59,12,1829
Knife,3,20,24,2,49,1082,18,1469,76,3,1826
leetcode,8,131,93,2,234,626,0,18239,272,5,1826
Paper,11,9,9,8,37,1263,17,2244,205,17,1825
search-guard,49,196,173,25,443,1281,22,18351,2744,20,1825
AppUpdate,10,27,34,7,78,524,59,3457,174,7,1824
Intro-To-RxJava,26,61,1,23,111,1339,23,9445,310,10,1823
packr,3,9,2,2,16,1704,48,896,218,20,1821
nutch,216,614,532,79,1441,3475,21,79012,3653,83,1821
FlipViewPager.Draco,2,4,10,1,17,1325,6,678,14,8,1820
ninja,98,219,232,83,632,2360,111,47978,2211,93,1818
cucumber-jvm,63,149,150,71,433,2708,21,29099,3838,265,1815
thumbnailator,51,253,47,29,380,1219,57,35001,522,1,1814
archaius,37,92,75,17,221,2389,81,13778,1172,59,1814
Auto.js,157,179,532,135,1003,667,40,49092,747,5,1813
Java8InAction,8,22,22,6,58,1854,14,3858,61,9,1812
Lazy,49,156,158,19,382,1067,0,18770,75,6,1812
jvm-sandbox,50,112,162,27,351,479,10,16346,118,18,1810
