Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
dex2jar,102,418,409,67,996,1350,184,41647,684,12,5345
gradle-retrolambda,6,19,4,1,30,1938,72,1885,338,25,5332
Timber,60,204,203,38,505,1262,172,23615,599,43,5319
j2objc,2482,8579,6241,1693,18995,1760,72,1339814,4308,102,5317
MagicIndicator,17,43,55,8,123,882,78,4538,154,3,5304
android-classyshark,24,87,61,12,184,1140,17,11595,609,16,5282
SpringCloudLearning,0,0,0,0,0,596,24,4056,50,4,5277
AndResGuard,21,61,38,17,137,1141,27,7120,393,22,5266
twoway-view,9,24,83,7,123,2137,168,3691,425,11,5266
AndroidImageSlider,5,38,33,7,83,1637,287,4743,128,16,5262
NumberProgressBar,1,2,1,1,5,1669,23,480,61,12,5244
rebound,15,46,41,11,113,1871,25,5380,185,16,5213
RePlugin,110,360,422,73,965,535,134,43566,540,34,5195
PictureSelector,50,159,148,29,386,690,322,19627,1191,6,5193
xUtils3,37,104,100,35,276,1124,449,14181,543,6,5174
otto,6,11,3,4,24,2342,18,2498,354,34,5166
RoundedImageView,4,14,13,3,34,2102,20,1612,258,23,5146
che,1715,4811,5038,1243,12807,1340,966,873924,9425,155,5121
InfiniteCycleViewPager,5,34,33,5,77,825,47,4048,89,5,5118
cas,297,654,1351,197,2499,2634,3,219427,22115,289,5114
BoomMenu,22,60,77,12,171,981,86,9640,195,5,5106
grpc-java,709,1513,799,564,3585,1448,375,271724,3565,163,5085
SystemBarTint,3,8,5,1,17,1834,38,983,64,5,5073
circular-progress-button,3,9,6,1,19,1632,31,1255,78,6,5066
SpringBoot-Learning,0,7,2,1,10,826,16,4585,265,6,5028
xUtils,39,89,151,28,307,1947,200,16146,772,3,5021
VirtualXposed,134,364,691,69,1258,359,25,48132,2009,68,5017
incubator-skywalking,116,296,714,139,1265,1114,96,87765,4558,110,5010
android-oss,113,184,145,185,627,713,4,38385,3999,25,5005
flink,2079,6648,5430,1254,15411,1632,399,925625,18967,669,4996
jib,91,195,107,51,444,307,102,35907,1530,28,4992
nokogiri,46,134,220,34,434,3786,185,17771,4574,182,4990
mosby,48,122,136,73,379,1341,17,28215,673,45,4958
VirtualApp,116,322,745,81,1264,872,136,47381,1189,52,4943
caffeine,143,330,298,121,892,1443,18,65642,1052,31,4904
android-job,47,129,97,37,310,1193,6,14227,501,26,4900
AgentWeb,37,105,168,26,336,562,82,13526,575,3,4900
epoxy,150,245,421,143,959,839,47,47390,315,30,4884
InstaMaterial,8,10,17,7,42,1476,30,2460,126,5,4862
lucida,109,320,119,40,588,1657,60,31396,2211,41,4858
android-common,60,96,220,36,412,2350,17,12237,300,9,4839
subsampling-scale-image-view,6,33,29,6,74,1917,23,4989,341,24,4838
VitamioBundle,21,51,75,12,159,2228,286,7865,133,7,4836
AndroidAutoSize,5,10,22,3,40,100,2,2862,281,3,4820
titan,243,648,738,160,1789,2465,191,86895,5064,66,4818
remusic,167,451,297,58,973,976,69,45651,129,4,4818
awesome-java-leetcode,0,13,6,0,19,587,4,2311,130,2,4811
Toasty,1,2,30,1,34,676,7,563,119,13,4808
cassandra,1351,4301,3858,990,10500,3475,111,464119,25256,372,4805
freeline,19,56,56,7,138,844,166,6003,411,24,4794
Side-Menu.Android,2,4,6,1,13,1412,23,493,58,10,4791
ImmersionBar,16,34,35,9,94,585,3,7102,66,2,4784
hsweb-framework,98,236,259,84,677,1042,3,63332,2144,26,4783
cardslib,123,280,345,49,797,1892,190,42375,652,15,4780
ZhihuDailyPurify,3,8,9,8,28,1650,0,1700,386,3,4778
zaproxy,628,1510,1058,315,3511,1271,651,224075,7865,135,4772
quickstart-android,37,104,70,24,235,943,33,10881,727,61,4770
RippleEffect,2,4,4,1,11,1503,52,728,111,12,4765
vjtools,89,174,108,53,424,180,20,22475,355,29,4746
antlr4,179,572,569,127,1447,3216,368,78288,7812,203,4739
material-calendarview,8,15,28,9,60,1385,74,5364,571,47,4734
AndroidStaggeredGrid,6,50,33,7,96,1812,107,4068,123,26,4730
async-http-client,123,299,311,88,821,2820,39,39698,5379,212,4724
AndPermission,8,21,17,11,57,805,44,4950,163,10,4720
motan,108,270,228,70,676,949,327,47266,437,37,4719
cw-omnibus,306,784,804,242,2136,2449,1,127236,1075,4,4717
DiskLruCache,4,19,9,2,34,2516,21,2079,139,14,4707
sqlbrite,10,25,21,7,63,1375,6,4564,316,35,4702
BookReader,99,287,291,73,750,844,25,37558,444,9,4677
gitpitch,21,54,82,18,175,872,14,8370,209,9,4673
haven,18,52,35,13,118,634,118,5704,691,46,4670
Java-WebSocket,27,95,103,26,251,3231,28,18150,861,68,4664
facebook-android-sdk,219,683,453,117,1472,3121,1,73899,775,96,4661
acra,30,51,123,18,222,2257,12,13586,1321,49,4652
NewPipe,87,244,280,70,681,1179,556,29479,3935,390,4642
scribejava,25,100,134,16,275,3003,3,13835,926,128,4640
ActiveAndroid,14,22,18,14,68,2201,324,4248,285,36,4630
